t,x,y,z,dx_dt,dy_dt,dz_dt
1.900190019001900266e-01,-1.950859782947248489e-01,1.020094106251246524e+00,2.296447897269537214e-02,-1.043058585223941792e+00,8.932842955524461503e-03,6.462242200921947122e-02
2.000200020002000367e-01,-2.055210455179516393e-01,1.020131323194928941e+00,2.359088862051072349e-02,-1.043722211815439671e+00,-1.494780878965845661e-03,6.068351076910397102e-02
2.100210021002100191e-01,-2.159620343540576137e-01,1.020064118283324550e+00,2.417898211029332473e-02,-1.044243100393617896e+00,-1.194921069739268704e-02,5.695805980617874020e-02
2.200220022002200293e-01,-2.264075264507159069e-01,1.019892230273929723e+00,2.473083829500219780e-02,-1.044623068568931945e+00,-2.242908039592994562e-02,5.343497379306338946e-02
2.300230023002300395e-01,-2.368561211546695577e-01,1.019615411510734537e+00,2.524842789097931847e-02,-1.044863839401713790e+00,-3.293303885252263363e-02,5.010371632590715496e-02
2.400240024002400219e-01,-2.473064345954245069e-01,1.019233427779275614e+00,2.573361891428131709e-02,-1.044967046693557000e+00,-4.345974903956936752e-02,4.695428264566819943e-02
2.500250025002500598e-01,-2.577570988168909616e-01,1.018746058169733404e+00,2.618818187305190642e-02,-1.044934240042785234e+00,-5.400788718294427526e-02,4.397717354071717377e-02
2.600260026002600422e-01,-2.682067609778331918e-01,1.018153094951371740e+00,2.661379460397116786e-02,-1.044766889555342804e+00,-6.457614198755884383e-02,4.116337110930390342e-02
2.700270027002700246e-01,-2.786540826177882346e-01,1.017454343457646626e+00,2.701204677167575244e-02,-1.044466390229322306e+00,-7.516321392625890940e-02,3.850431628865810807e-02
2.800280028002800625e-01,-2.890977387802432519e-01,1.016649621948097160e+00,2.738444510285178643e-02,-1.044034067050948922e+00,-8.576781439062380885e-02,3.599188175675865908e-02
2.900290029002900449e-01,-2.995364172905063405e-01,1.015738761495563081e+00,2.773241782319325541e-02,-1.043471179318756326e+00,-9.638866499139370214e-02,3.361834933023577499e-02
3.000300030003000273e-01,-3.099688183264583397e-01,1.014721605920196890e+00,2.805731757185942268e-02,-1.042778923492056364e+00,-1.070244971424189617e-01,3.137639626724184061e-02
3.100310031003100653e-01,-3.203936538834800118e-01,1.013598011707002478e+00,2.836042486816073641e-02,-1.041958436575163294e+00,-1.176740515420794941e-01,2.925907810228586814e-02
3.200320032003200477e-01,-3.308096470125774791e-01,1.012367847887704286e+00,2.864295275996317849e-02,-1.041010800647667489e+00,-1.283360774350366107e-01,2.725980417628853791e-02
